"","trimestre","alcance","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"118",2010-07-01,"Biobío",61710.9648856545,720435.064739313,658724.099853658,1234100,181276.852271684,840000.952125342,8.6,58.4,53.4,21.6
"119",2010-08-01,"Biobío",62972.6604518725,707542.833708576,644570.173256704,1235303,183266.930666687,827837.103923391,8.9,57.3,52.2,22.1
"120",2010-09-01,"Biobío",63742.0858562164,698418.657863431,634676.572007214,1236468,192262.988619182,826939.560626396,9.1,56.5,51.3,23.2
"121",2010-10-01,"Biobío",60398.2434766885,694616.160662786,634217.917186098,1237662,189391.131045725,823609.048231823,8.7,56.1,51.2,23
"122",2010-11-01,"Biobío",54907.6192039568,693320.4868927,638412.867688743,1238815,181265.837323797,819678.70501254,7.9,56,51.5,22.1
"123",2010-12-01,"Biobío",50693.3305582578,696096.762174998,645403.43161674,1240047,173450.621547795,818854.053164536,7.3,56.1,52,21.2
"124",2011-01-01,"Biobío",54716.3737009083,708660.367176417,653943.993475508,1241209,176142.347510153,830086.340985662,7.7,57.1,52.7,21.2
"125",2011-02-01,"Biobío",60226.2586361956,713276.822644803,653050.564008608,1242413,184594.503589658,837645.067598265,8.4,57.4,52.6,22
"126",2011-03-01,"Biobío",60930.4476603828,710683.34960384,649752.901943457,1243587,172768.04544235,822520.947385807,8.6,57.1,52.2,21
"127",2011-04-01,"Biobío",56652.8729424664,700570.078332142,643917.205389675,1244775,165242.053332698,809159.258722373,8.1,56.3,51.7,20.4
"128",2011-05-01,"Biobío",56579.9763355142,702034.823632688,645454.847297173,1245947,157582.241366207,803037.088663381,8.1,56.3,51.8,19.6
"129",2010-02-01,"La Araucanía",37707.3155588631,434258.915875225,396551.600316362,735837,121409.215234755,517960.815551116,8.7,59,53.9,23.4
"130",2010-03-01,"La Araucanía",36077.631164744,432522.324758291,396444.693593547,736634,110512.23845267,506956.932046217,8.3,58.7,53.8,21.8
"131",2010-04-01,"La Araucanía",32940.7221204795,429456.556492255,396515.834371775,737413,108900.172798418,505416.007170194,7.7,58.2,53.8,21.5
"132",2010-05-01,"La Araucanía",33969.5935347328,419798.662339959,385829.068805226,738195,119001.698953358,504830.767758584,8.1,56.9,52.3,23.6
"133",2010-06-01,"La Araucanía",35509.2607074622,428225.452554016,392716.191846554,738975,126832.213675312,519548.405521866,8.3,57.9,53.1,24.4
"134",2010-07-01,"La Araucanía",35794.4152494181,427950.789023268,392156.37377385,739746,131287.68835887,523444.062132719,8.4,57.9,53,25.1
"135",2010-08-01,"La Araucanía",38103.9488052658,429185.271373554,391081.322568288,740524,131427.178818917,522508.501387205,8.9,58,52.8,25.2
"136",2010-09-01,"La Araucanía",37839.7593240115,424478.01459311,386638.255269098,741259,130636.033413956,517274.288683055,8.9,57.3,52.2,25.3
"137",2010-10-01,"La Araucanía",38963.9563418282,423308.472407223,384344.516065395,742043,129010.262871102,513354.778936496,9.2,57,51.8,25.1
"138",2010-11-01,"La Araucanía",34994.8345227048,419288.15015374,384293.315631035,742790,119305.237289432,503598.552920467,8.3,56.4,51.7,23.7
"139",2010-12-01,"La Araucanía",30125.8973124703,414499.540395842,384373.643083372,743562,114578.40121514,498952.044298512,7.3,55.7,51.7,23
"140",2011-01-01,"La Araucanía",30488.0606427565,426803.195771921,396315.135129164,744317,116569.332781708,512884.467910872,7.1,57.3,53.2,22.7
"141",2011-02-01,"La Araucanía",32647.6378360579,439899.495819602,407251.857983544,745057,122349.32661179,529601.184595334,7.4,59,54.7,23.1
"142",2011-03-01,"La Araucanía",38263.9680879827,449116.483798124,410852.515710141,745805,122309.920334204,533162.436044344,8.5,60.2,55.1,22.9
"143",2011-04-01,"La Araucanía",34852.2312112569,458059.883421909,423207.652210652,746577,116083.774948171,539291.427158823,7.6,61.4,56.7,21.5
"144",2011-05-01,"La Araucanía",39777.6714392489,456509.102973611,416731.431534362,747348,118837.557673765,535568.989208127,8.7,61.1,55.8,22.2
"145",2010-02-01,"Los Lagos",20778.3081864244,369797.035281782,349018.727095358,631622,47587.4279225808,396606.155017939,5.6,58.5,55.3,12
"146",2010-03-01,"Los Lagos",23136.4447115151,373215.318455712,350078.873744197,632436,53123.6797863939,403202.553530591,6.2,59,55.4,13.2
"147",2010-04-01,"Los Lagos",23334.2992954689,368333.142776452,344998.843480983,633248,56419.6383648152,401418.481845799,6.3,58.2,54.5,14.1
"148",2010-05-01,"Los Lagos",21507.4785613063,361886.106893264,340378.628331958,634056,60267.3516042343,400645.979936192,5.9,57.1,53.7,15
"149",2010-06-01,"Los Lagos",18838.3277572202,362186.987702359,343348.659945139,634903,53505.2487165557,396853.908661695,5.2,57,54.1,13.5
"150",2010-07-01,"Los Lagos",19040.8107332842,367696.778902749,348655.968169465,635719,55221.2611582238,403877.229327688,5.2,57.8,54.8,13.7
"151",2010-08-01,"Los Lagos",19197.9134650159,375869.207330683,356671.293865667,636539,54775.5583361524,411446.852201819,5.1,59,56,13.3
"152",2010-09-01,"Los Lagos",18756.3341072047,375898.552605765,357142.218498561,637324,51228.4194369957,408370.637935556,5,59,56,12.5
"153",2010-10-01,"Los Lagos",15295.4212048066,373719.117899463,358423.696694657,638154,49011.2475392408,407434.944233898,4.1,58.6,56.2,12
"154",2010-11-01,"Los Lagos",14317.978852625,374127.420066578,359809.441213953,638979,49564.7549206139,409374.196134567,3.8,58.6,56.3,12.1
"155",2010-12-01,"Los Lagos",10776.402283371,372545.938764055,361769.536480684,639810,46801.6981738083,408571.234654493,2.9,58.2,56.5,11.5
"156",2011-01-01,"Los Lagos",11335.2530237468,370815.200849612,359479.947825865,640620,45702.3110610887,405182.258886954,3.1,57.9,56.1,11.3
"157",2011-02-01,"Los Lagos",13240.5342013101,377507.897393461,364267.363192151,641486,42079.8865157829,406347.249707934,3.5,58.8,56.8,10.4
"158",2011-03-01,"Los Lagos",16576.1724443576,377207.452029633,360631.279585275,642268,45436.082202576,406067.361787851,4.4,58.7,56.1,11.2
"159",2011-04-01,"Los Lagos",16285.5074736618,380098.529206368,363813.021732706,643062,45879.6816835861,409692.703416292,4.3,59.1,56.6,11.2
"160",2011-05-01,"Los Lagos",13779.5203999029,380234.871092627,366455.350692724,643912,49697.0178193982,416152.368512122,3.6,59.1,56.9,11.9
"161",2010-02-01,"Aysén",2179.5975223659,51830.9616988672,49651.3641765013,75438,7564.03549098267,57215.399667484,4.2,68.7,65.8,13.2
