"","trimestre","alcance","sexo","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"276",2010-11-01,"La Araucanía",2,17252.2306624303,167341.923819523,150089.693157093,382080,69611.1303750277,219700.823532121,10.3,43.8,39.3,31.7
"277",2010-12-01,"La Araucanía",1,13535.6767448128,251387.56191802,237851.885173207,361085,44304.1546039598,282156.039777167,5.4,69.6,65.9,15.7
"278",2010-12-01,"La Araucanía",2,16590.2205676575,163111.978477823,146521.757910165,382477,70274.2466111801,216796.004521345,10.2,42.6,38.3,32.4
"279",2011-01-01,"La Araucanía",1,13310.5666446713,258355.040967856,245044.474323185,361419,43002.7438547296,288047.218177915,5.2,71.5,67.8,14.9
"280",2011-01-01,"La Araucanía",2,17177.4939980852,168448.154804064,151270.660805979,382898,73566.5889269787,224837.249732958,10.2,44,39.5,32.7
"281",2011-02-01,"La Araucanía",1,14282.5062221842,267585.57688322,253303.070661036,361766,43493.3412513787,296796.411912414,5.3,74,70,14.7
"282",2011-02-01,"La Araucanía",2,18365.1316138738,172313.918936383,153948.787322509,383291,78855.985360411,232804.77268292,10.7,45,40.2,33.9
"283",2011-03-01,"La Araucanía",1,17055.1912814535,271077.537269522,254022.345988069,362101,43309.1903057575,297331.536293826,6.3,74.9,70.2,14.6
"284",2011-03-01,"La Araucanía",2,21208.7768065292,178038.946528601,156830.169722072,383704,79000.7300284461,235830.899750518,11.9,46.4,40.9,33.5
"285",2011-04-01,"La Araucanía",1,15378.1091351534,273931.255960727,258553.146825574,362437,39840.7330306094,298393.879856183,5.6,75.6,71.3,13.4
"286",2011-04-01,"La Araucanía",2,19474.1220761035,184128.627461182,164654.505385079,384140,76243.0419175612,240897.54730264,10.6,47.9,42.9,31.6
"287",2011-05-01,"La Araucanía",1,15227.4598504207,273376.05991844,258148.60006802,362787,40214.0335070275,298362.633575047,5.6,75.4,71.2,13.5
"288",2011-05-01,"La Araucanía",2,24550.2115888282,183133.043055171,158582.831466343,384561,78623.5241667375,237206.35563308,13.4,47.6,41.2,33.1
"289",2010-02-01,"Los Lagos",1,12819.7765565964,235010.763794583,222190.987237987,313108,23198.2429186288,245389.230156616,5.5,75.1,71,9.5
"290",2010-02-01,"Los Lagos",2,7958.53162982807,134786.271487199,126827.739857371,318514,24389.185003952,151216.924861323,5.9,42.3,39.8,16.1
"291",2010-03-01,"Los Lagos",1,14912.9784877759,233485.00076749,218572.022279714,313530,26593.1351678147,245165.157447529,6.4,74.5,69.7,10.8
"292",2010-03-01,"Los Lagos",2,8223.46622373922,139730.317688222,131506.851464482,318906,26530.5446185792,158037.396083062,5.9,43.8,41.2,16.8
"293",2010-04-01,"Los Lagos",1,14619.0207444865,229323.225664058,214704.204919571,313930,26840.8464405603,241545.051360132,6.4,73,68.4,11.1
"294",2010-04-01,"Los Lagos",2,8715.27855098239,139009.917112395,130294.638561412,319318,29578.7919242549,159873.430485667,6.3,43.5,40.8,18.5
"295",2010-05-01,"Los Lagos",1,12366.5391683506,224733.305436075,212366.766267725,314307,26826.0521295382,239192.818397263,5.5,71.5,67.6,11.2
"296",2010-05-01,"Los Lagos",2,9140.93939295562,137152.801457189,128011.862064233,319749,33441.299474696,161453.161538929,6.7,42.9,40,20.7
"297",2010-06-01,"Los Lagos",1,11962.724448327,227302.059301912,215339.334853585,314721,24441.0017289763,239780.336582561,5.3,72.2,68.4,10.2
"298",2010-06-01,"Los Lagos",2,6875.60330889324,134884.928400448,128009.325091554,320182,29064.2469875794,157073.572079134,5.1,42.1,40,18.5
"299",2010-07-01,"Los Lagos",1,12251.0899916041,230496.716546177,218245.626554573,315114,24719.7532130924,242965.379767665,5.3,73.1,69.3,10.2
"300",2010-07-01,"Los Lagos",2,6789.72074168006,137200.062356572,130410.341614892,320605,30501.5079451313,160911.849560023,4.9,42.8,40.7,19
